#,Group,Public ID,현재 제목,Engine,Level,핵심 옵션,SIGNAL,SELECT,MOVE,Family,Status,문제 요약,Root Mechanic,Variant,Evidence File,Recommended Next Action,Live CMS,CMS Match,Thumbnail,Guide Video,Asset Match,Backward Compatibility,Duplicate Type,Final Risk,Audit Confidence
1,reaction-cognition,reaction-cognition-space-direction-01,화살표,basic,1,spatialArrow none,SIGNAL: 전체 화면 중앙에 흰(기본) 큰 화살표가 나타난다.,SELECT: 화살표가 가리키는 방향.,MOVE: 해당 방향 SPOMAT 색 패드로 이동한다.,reaction-space-direction,PASS,설명·파일 정합. 라이브 CMS/썸네일 미확인.,rc-space-direction,base,app/admin/spomove/training/_player/lib/signals.ts basic L1,Metadata only if naming sprint,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-space-direction-01/thumbnail.webp,HTTPS_URL https://youtu.be/ppRZjJEhNW4 | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,DISTINCT,P2,MEDIUM
2,reaction-cognition,reaction-cognition-space-direction-color-01b,색상 화살표,basic,1,spatialArrowColorMode=color mapping=compass,SIGNAL: 중앙 화살표가 방향별 고정 색으로 채워진다(위빨 좌초 우노 하파).,SELECT: 화살표 방향(색은 방향 힌트).,MOVE: 해당 방향 색 패드로 이동한다.,reaction-space-direction,PASS,Runtime 정상. 중복 책임은 stroop-arrow-reverse-08. Live CMS MATCH.,rc-space-direction,color-fill,signals.ts spatialArrowFillForDirection,기존 stroop-08 HOLD + 이 ID 유지,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-space-direction-color-01b/thumbnail.webp,HTTPS_URL https://youtu.be/wmLf9oBEGqs | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,DISTINCT,P2,MEDIUM
3,reaction-cognition,reaction-cognition-quad-color-02,색상,basic,2,variantColorTheme=color,SIGNAL: 2x2 그리드 한 칸이 색으로 강조된다.,SELECT: 강조된 칸의 색.,MOVE: 해당 색 패드로 이동한다.,reaction-quadrant,PASS,테마 루트 정합.,rc-quad,theme=color,signals.ts think_quad,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-quad-color-02/thumbnail.png,HTTPS_URL https://youtu.be/oZd3jeLopfk | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
4,reaction-cognition,reaction-cognition-quad-fruit-10,과일,basic,2,variantColorTheme=fruit,SIGNAL: 2x2 한 칸에 과일 이미지(색 매핑).,SELECT: 이미지에 대응하는 패드 색.,MOVE: 해당 색 패드로 이동한다.,reaction-quadrant,PASS,fruit slides 전달 경로 확인. 에셋 로드 실패 시 null 가능.,rc-quad,theme=fruit,MemoryGameApp variantFruitSlides,ASSET VERIFY 테마 이미지,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-quad-fruit-10/thumbnail.webp,HTTPS_URL https://youtu.be/XyfUp7zUyq0 | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
5,reaction-cognition,reaction-cognition-l2-animal-exp,동물,basic,2,variantColorTheme=animal,SIGNAL: 2x2 한 칸에 동물 테마 이미지.,SELECT: 이미지 색 매핑.,MOVE: 해당 색 패드로 이동한다.,reaction-quadrant,PASS,Root rc-quad theme variant.,rc-quad,theme=animal,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-l2-animal-exp/thumbnail.webp,HTTPS_URL https://youtu.be/Luj-qgwPimI | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
6,reaction-cognition,reaction-cognition-l2-food-exp,음식,basic,2,variantColorTheme=food,SIGNAL: 2x2 한 칸에 음식 테마 이미지.,SELECT: 이미지 색 매핑.,MOVE: 해당 색 패드로 이동한다.,reaction-quadrant,PASS,Root rc-quad theme variant.,rc-quad,theme=food,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-l2-food-exp/thumbnail.webp,HTTPS_URL https://youtu.be/hSUniOW7DxA | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
7,reaction-cognition,reaction-cognition-l2-nature-exp,자연,basic,2,variantColorTheme=nature,SIGNAL: 2x2 한 칸에 자연 테마 이미지.,SELECT: 이미지 색 매핑.,MOVE: 해당 색 패드로 이동한다.,reaction-quadrant,PASS,Root rc-quad theme variant.,rc-quad,theme=nature,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-l2-nature-exp/thumbnail.webp,HTTPS_URL https://youtu.be/_l6ZEJZu5uU | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
8,reaction-cognition,reaction-cognition-l2-vehicle-exp,탈 것,basic,2,variantColorTheme=vehicle,SIGNAL: 2x2 한 칸에 탈것 테마 이미지.,SELECT: 이미지 색 매핑.,MOVE: 해당 색 패드로 이동한다.,reaction-quadrant,PASS,Root rc-quad theme variant.,rc-quad,theme=vehicle,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-l2-vehicle-exp/thumbnail.webp,HTTPS_URL https://youtu.be/_Ps-JL2Fi7g | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
9,reaction-cognition,reaction-cognition-l2-mix-exp,믹스,basic,2,variantColorTheme=mix,SIGNAL: 2x2 한 칸에 믹스 테마 이미지.,SELECT: 이미지 색 매핑.,MOVE: 해당 색 패드로 이동한다.,reaction-quadrant,PASS,Root rc-quad theme variant.,rc-quad,theme=mix,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-l2-mix-exp/thumbnail.webp,HTTPS_URL https://youtu.be/0kyOGUwdjG4 | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
10,reaction-cognition,reaction-cognition-full-color-03,전면단일 · 색상,basic,3,variantColorTheme=color,SIGNAL: 화면 전체가 한 색으로 채워진다.,SELECT: 화면 색.,MOVE: 해당 색 패드로 이동한다.,reaction-full,PASS,정합.,rc-full,theme=color,signals.ts full_color,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-full-color-03/thumbnail.png,HTTPS_URL https://youtu.be/KgYuLXQmiNI | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
