sortOrder,presetId,title,programGroup,axis,engineMode,engineLevel,engineOptionsJson,activityFamilyId,movementProfileId,theme,rounds,cueSeconds,isReady,description,recommendedUse,runtimeSignature,mechanicSignature,themeSignature,stageSignature
1,reaction-cognition-space-direction-01,화살표,reaction-cognition,response,basic,1,{},reaction-space-direction,simpleColorResponse,none,20,3,true,"전체형 화면 중앙에 표시되는 큰 화살표를 보고, 화살표가 가리키는 방향 색 패드로 즉시 점프하거나 이동하는 공간방향 자극 활동","수업 도입, 방향 인지, 순발력, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":1,""mode"":""basic"",""options"":{},""rounds"":20,""theme"":""none""}","v1|{""level"":1,""mode"":""basic"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":1,""rounds"":20}"
2,reaction-cognition-space-direction-color-01b,색상 화살표,reaction-cognition,response,basic,1,"{""spatialArrowColorMode"":""color"",""spatialArrowColorMapping"":""compass""}",reaction-space-direction,simpleColorResponse,none,20,3,true,"전체형 화면 중앙에 표시되는 큰 색상 화살표를 보고, 화살표가 가리키는 방향 색 패드로 즉시 점프하거나 이동하는 공간방향 자극 활동. 위 빨·좌 초·우 노·아래 파로 방향별 색이 고정됩니다.","수업 도입, 방향 인지, 색상 화살표, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":1,""mode"":""basic"",""options"":{""spatialArrowColorMapping"":""compass"",""spatialArrowColorMode"":""color""},""rounds"":20,""theme"":""none""}","v1|{""level"":1,""mode"":""basic"",""options"":{""spatialArrowColorMapping"":""compass"",""spatialArrowColorMode"":""color""}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":1,""rounds"":20}"
3,reaction-cognition-quad-color-02,색상,reaction-cognition,response,basic,2,"{""variantColorTheme"":""color""}",reaction-quadrant,simpleColorResponse,color,20,3,true,2×2 그리드형 화면에서 한 칸에 표시되는 색상 신호를 보고 해당 색 패드 위치로 즉시 이동하는 4분할 자극 활동,"색상 지각, 위치 선택, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":2,""mode"":""basic"",""options"":{""variantColorTheme"":""color""},""rounds"":20,""theme"":""color""}","v1|{""level"":2,""mode"":""basic"",""options"":{}}",v1|theme=color,"v1|{""cueSeconds"":3,""level"":2,""rounds"":20}"
4,reaction-cognition-quad-fruit-10,과일,reaction-cognition,response,basic,2,"{""variantColorTheme"":""fruit""}",reaction-quadrant,simpleColorResponse,fruit,20,3,true,2×2 그리드형 화면에서 한 칸에 표시되는 과일 이미지 신호를 보고 해당 색 패드 위치로 즉시 이동하는 4분할 자극 활동,"색상 지각, 위치 선택, 어린 학습자","v1|{""cueSeconds"":3,""level"":2,""mode"":""basic"",""options"":{""variantColorTheme"":""fruit""},""rounds"":20,""theme"":""fruit""}","v1|{""level"":2,""mode"":""basic"",""options"":{}}",v1|theme=fruit,"v1|{""cueSeconds"":3,""level"":2,""rounds"":20}"
5,reaction-cognition-full-color-03,전면단일 · 색상,reaction-cognition,response,basic,3,"{""variantColorTheme"":""color""}",reaction-full,themedFullResponse,color,20,3,true,전체형 화면 하나를 채우는 색상 신호를 보고 해당 색 패드 위치로 즉시 이동하는 전면단일 자극 활동,"전신 반응, 색상 판단, 집중 전환","v1|{""cueSeconds"":3,""level"":3,""mode"":""basic"",""options"":{""variantColorTheme"":""color""},""rounds"":20,""theme"":""color""}","v1|{""level"":3,""mode"":""basic"",""options"":{}}",v1|theme=color,"v1|{""cueSeconds"":3,""level"":3,""rounds"":20}"
6,reaction-cognition-full-animal-18,전면단일 · 동물,reaction-cognition,response,basic,3,"{""variantColorTheme"":""animal""}",reaction-full,themedFullResponse,animal,20,4,true,전체형 화면 하나에 크게 표시되는 동물 이미지 신호를 보고 해당 색 패드 위치로 즉시 이동하는 전면단일 자극 활동,"전신 반응, 이미지 판단, 어린 학습자 친화","v1|{""cueSeconds"":4,""level"":3,""mode"":""basic"",""options"":{""variantColorTheme"":""animal""},""rounds"":20,""theme"":""animal""}","v1|{""level"":3,""mode"":""basic"",""options"":{}}",v1|theme=animal,"v1|{""cueSeconds"":4,""level"":3,""rounds"":20}"
7,reaction-cognition-full-nature-19,전면단일 · 자연,reaction-cognition,response,basic,3,"{""variantColorTheme"":""nature""}",reaction-full,themedFullResponse,nature,20,5,true,전체형 화면 하나에 크게 표시되는 자연 이미지 신호를 보고 해당 색 패드 위치로 즉시 이동하는 전면단일 자극 활동,"전신 반응, 이미지 판단, 자연 친화 수업","v1|{""cueSeconds"":5,""level"":3,""mode"":""basic"",""options"":{""variantColorTheme"":""nature""},""rounds"":20,""theme"":""nature""}","v1|{""level"":3,""mode"":""basic"",""options"":{}}",v1|theme=nature,"v1|{""cueSeconds"":5,""level"":3,""rounds"":20}"
8,reaction-cognition-split-color-04,2분할 · 색상,reaction-cognition,response,basic,4,"{""variantColorTheme"":""color""}",reaction-split,simpleColorResponse,color,20,3,true,2분할 패널형 화면의 좌우 두 패널에 표시되는 색상 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"선택 반응, 양측 이동, 색상 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":4,""mode"":""basic"",""options"":{""variantColorTheme"":""color""},""rounds"":20,""theme"":""color""}","v1|{""level"":4,""mode"":""basic"",""options"":{}}",v1|theme=color,"v1|{""cueSeconds"":3,""level"":4,""rounds"":20}"
9,reaction-cognition-triple-color-25,3분할 · 색상,reaction-cognition,response,basic,5,"{""variantColorTheme"":""color""}",reaction-triple,simpleColorResponse,color,20,3,true,3분할 패널형 화면의 세 패널에 표시되는 서로 다른 색상 신호 중 목표 색을 골라 해당 색 패드 위치로 즉시 이동하는 활동,"선택 반응, 시선 분산, 색상 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":5,""mode"":""basic"",""options"":{""variantColorTheme"":""color""},""rounds"":20,""theme"":""color""}","v1|{""level"":5,""mode"":""basic"",""options"":{}}",v1|theme=color,"v1|{""cueSeconds"":3,""level"":5,""rounds"":20}"
10,reaction-cognition-triple-diff-color-31,랜덤분할 · 색상,reaction-cognition,response,basic,6,"{""variantColorTheme"":""color""}",reaction-triple-diff,simpleColorResponse,color,20,3,true,전면 1개·2분할·3분할이 20%·30%·50% 확률로 바뀌며 제시되는 색상 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"심화 선택 반응, 시선 분산, 색상 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":6,""mode"":""basic"",""options"":{""variantColorTheme"":""color""},""rounds"":20,""theme"":""color""}","v1|{""level"":6,""mode"":""basic"",""options"":{}}",v1|theme=color,"v1|{""cueSeconds"":3,""level"":6,""rounds"":20}"
