#,Group,Public ID,현재 제목,Engine,Level,핵심 옵션,SIGNAL,SELECT,MOVE,Family,CMS,Asset,Status,Risk,문제 요약,Root Mechanic,Variant,Backward Compatibility,Evidence File,Recommended Next Action
1,reaction-cognition,reaction-cognition-space-direction-01,화살표,basic,1,spatialArrow none,SIGNAL: 전체 화면 중앙에 흰(기본) 큰 화살표가 나타난다.,SELECT: 화살표가 가리키는 방향.,MOVE: 해당 방향 SPOMAT 색 패드로 이동한다.,reaction-space-direction,VERIFY (pilot seed in repo; live pack unread),ASSET VERIFY REQUIRED,PASS,P2,설명·파일 정합. 라이브 CMS/썸네일 미확인.,rc-space-direction,base,LOW,app/admin/spomove/training/_player/lib/signals.ts basic L1,Metadata only if naming sprint
2,reaction-cognition,reaction-cognition-space-direction-color-01b,색상 화살표,basic,1,"spatialArrowColorMode=color mapping=compass",SIGNAL: 중앙 화살표가 방향별 고정 색으로 채워진다(위빨 좌초 우노 하파).,SELECT: 화살표 방향(색은 방향 힌트).,MOVE: 해당 방향 색 패드로 이동한다.,reaction-space-direction,VERIFY,ASSET VERIFY REQUIRED,WARN,P0,런타임은 PASS급이나 stroop-arrow-reverse-08과 TRUE DUPLICATE.,rc-space-direction,color-fill,YES if stroop-08 ID kept as this game,signals.ts spatialArrowFillForDirection,기존 stroop-08 HOLD + 이 ID 유지
3,reaction-cognition,reaction-cognition-quad-color-02,색상,basic,2,variantColorTheme=color,SIGNAL: 2x2 그리드 한 칸이 색으로 강조된다.,SELECT: 강조된 칸의 색.,MOVE: 해당 색 패드로 이동한다.,reaction-quadrant,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,테마 루트 정합.,rc-quad,theme=color,LOW,signals.ts think_quad,none
4,reaction-cognition,reaction-cognition-quad-fruit-10,과일,basic,2,variantColorTheme=fruit,SIGNAL: 2x2 한 칸에 과일 이미지(색 매핑).,SELECT: 이미지에 대응하는 패드 색.,MOVE: 해당 색 패드로 이동한다.,reaction-quadrant,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,fruit slides 전달 경로 확인. 에셋 로드 실패 시 null 가능.,rc-quad,theme=fruit,LOW,MemoryGameApp variantFruitSlides,ASSET VERIFY 테마 이미지
5,reaction-cognition,reaction-cognition-l2-animal-exp,동물,basic,2,variantColorTheme=animal,SIGNAL: 2x2 한 칸에 동물 테마 이미지.,SELECT: 이미지 색 매핑.,MOVE: 해당 색 패드로 이동한다.,reaction-quadrant,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,Root rc-quad theme variant.,rc-quad,theme=animal,LOW,officialSpomovePresetExpansion.ts,none
6,reaction-cognition,reaction-cognition-l2-food-exp,음식,basic,2,variantColorTheme=food,SIGNAL: 2x2 한 칸에 음식 테마 이미지.,SELECT: 이미지 색 매핑.,MOVE: 해당 색 패드로 이동한다.,reaction-quadrant,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,Root rc-quad theme variant.,rc-quad,theme=food,LOW,officialSpomovePresetExpansion.ts,none
7,reaction-cognition,reaction-cognition-l2-nature-exp,자연,basic,2,variantColorTheme=nature,SIGNAL: 2x2 한 칸에 자연 테마 이미지.,SELECT: 이미지 색 매핑.,MOVE: 해당 색 패드로 이동한다.,reaction-quadrant,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,Root rc-quad theme variant.,rc-quad,theme=nature,LOW,officialSpomovePresetExpansion.ts,none
8,reaction-cognition,reaction-cognition-l2-vehicle-exp,탈 것,basic,2,variantColorTheme=vehicle,SIGNAL: 2x2 한 칸에 탈것 테마 이미지.,SELECT: 이미지 색 매핑.,MOVE: 해당 색 패드로 이동한다.,reaction-quadrant,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,Root rc-quad theme variant.,rc-quad,theme=vehicle,LOW,officialSpomovePresetExpansion.ts,none
9,reaction-cognition,reaction-cognition-l2-mix-exp,믹스,basic,2,variantColorTheme=mix,SIGNAL: 2x2 한 칸에 믹스 테마 이미지.,SELECT: 이미지 색 매핑.,MOVE: 해당 색 패드로 이동한다.,reaction-quadrant,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,Root rc-quad theme variant.,rc-quad,theme=mix,LOW,officialSpomovePresetExpansion.ts,none
10,reaction-cognition,reaction-cognition-full-color-03,전면단일 · 색상,basic,3,variantColorTheme=color,SIGNAL: 화면 전체가 한 색으로 채워진다.,SELECT: 화면 색.,MOVE: 해당 색 패드로 이동한다.,reaction-full,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,정합.,rc-full,theme=color,LOW,signals.ts full_color,none
11,reaction-cognition,reaction-cognition-l3-fruit-exp,전면단일 · 과일,basic,3,variantColorTheme=fruit,SIGNAL: 전면에 과일 이미지+색.,SELECT: 이미지 색.,MOVE: 해당 색 패드로 이동한다.,reaction-full,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,Root rc-full.,rc-full,theme=fruit,LOW,officialSpomovePresetExpansion.ts,none
12,reaction-cognition,reaction-cognition-full-animal-18,전면단일 · 동물,basic,3,variantColorTheme=animal,SIGNAL: 전면에 동물 이미지+색.,SELECT: 이미지 색.,MOVE: 해당 색 패드로 이동한다.,reaction-full,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,코어 ID.,rc-full,theme=animal,LOW,officialSpomovePresets.ts,none
13,reaction-cognition,reaction-cognition-l3-food-exp,전면단일 · 음식,basic,3,variantColorTheme=food,SIGNAL: 전면에 음식 이미지+색.,SELECT: 이미지 색.,MOVE: 해당 색 패드로 이동한다.,reaction-full,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,Root rc-full.,rc-full,theme=food,LOW,officialSpomovePresetExpansion.ts,none
14,reaction-cognition,reaction-cognition-full-nature-19,전면단일 · 자연,basic,3,variantColorTheme=nature,SIGNAL: 전면에 자연 이미지+색.,SELECT: 이미지 색.,MOVE: 해당 색 패드로 이동한다.,reaction-full,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,코어 ID.,rc-full,theme=nature,LOW,officialSpomovePresets.ts,none
15,reaction-cognition,reaction-cognition-l3-vehicle-exp,전면단일 · 탈 것,basic,3,variantColorTheme=vehicle,SIGNAL: 전면에 탈것 이미지+색.,SELECT: 이미지 색.,MOVE: 해당 색 패드로 이동한다.,reaction-full,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,Root rc-full.,rc-full,theme=vehicle,LOW,officialSpomovePresetExpansion.ts,none
16,reaction-cognition,reaction-cognition-l3-mix-exp,전면단일 · 믹스,basic,3,variantColorTheme=mix,SIGNAL: 전면에 믹스 이미지+색.,SELECT: 이미지 색.,MOVE: 해당 색 패드로 이동한다.,reaction-full,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,Root rc-full.,rc-full,theme=mix,LOW,officialSpomovePresetExpansion.ts,none
17,reaction-cognition,reaction-cognition-split-color-04,2분할 · 색상,basic,4,variantColorTheme=color,SIGNAL: 좌우 두 패널에 서로 다른 색(또는 이미지)이 동시에 제시된다.,SELECT: 두 패널의 색.,MOVE: 해당 색 패드들로 이동한다(양측).,reaction-split,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,basic L4 variantTier 3.,rc-split,theme=color,LOW,signals.ts basic_variant_color,none
18,reaction-cognition,reaction-cognition-l4-fruit-exp,2분할 · 과일,basic,4,variantColorTheme=fruit,SIGNAL: 좌우 패널에 과일 이미지.,SELECT: 두 이미지 색.,MOVE: 해당 색 패드들로 이동한다.,reaction-split,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,Root rc-split.,rc-split,theme=fruit,LOW,officialSpomovePresetExpansion.ts,none
19,reaction-cognition,reaction-cognition-l4-animal-exp,2분할 · 동물,basic,4,variantColorTheme=animal,SIGNAL: 좌우 패널에 동물 이미지.,SELECT: 두 이미지 색.,MOVE: 해당 색 패드들로 이동한다.,reaction-split,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,Root rc-split.,rc-split,theme=animal,LOW,officialSpomovePresetExpansion.ts,none
20,reaction-cognition,reaction-cognition-l4-food-exp,2분할 · 음식,basic,4,variantColorTheme=food,SIGNAL: 좌우 패널에 음식 이미지.,SELECT: 두 이미지 색.,MOVE: 해당 색 패드들로 이동한다.,reaction-split,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,Root rc-split.,rc-split,theme=food,LOW,officialSpomovePresetExpansion.ts,none
21,reaction-cognition,reaction-cognition-l4-nature-exp,2분할 · 자연,basic,4,variantColorTheme=nature,SIGNAL: 좌우 패널에 자연 이미지.,SELECT: 두 이미지 색.,MOVE: 해당 색 패드들로 이동한다.,reaction-split,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,Root rc-split.,rc-split,theme=nature,LOW,officialSpomovePresetExpansion.ts,none
22,reaction-cognition,reaction-cognition-l4-vehicle-exp,2분할 · 탈 것,basic,4,variantColorTheme=vehicle,SIGNAL: 좌우 패널에 탈것 이미지.,SELECT: 두 이미지 색.,MOVE: 해당 색 패드들로 이동한다.,reaction-split,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,Root rc-split.,rc-split,theme=vehicle,LOW,officialSpomovePresetExpansion.ts,none
23,reaction-cognition,reaction-cognition-l4-mix-exp,2분할 · 믹스,basic,4,variantColorTheme=mix,SIGNAL: 좌우 패널에 믹스 이미지.,SELECT: 두 이미지 색.,MOVE: 해당 색 패드들로 이동한다.,reaction-split,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,Root rc-split.,rc-split,theme=mix,LOW,officialSpomovePresetExpansion.ts,none
24,visual-reaction,visual-reaction-flash-33,시지각 반응 · 풍선 터뜨리기,reactTrain,3,variant=flash,SIGNAL: 색 풍선이 낙하해 하단 가시에 닿는다.,SELECT: 가시에 닿는 순간의 풍선 색.,MOVE: 해당 색 패드로 반응한다.,visual-flash,VERIFY (pilot seed),ASSET VERIFY REQUIRED,PASS,P2,EngineRouter reactTrain L3 → VisualReactionTraining flash.,vr-flash,base,LOW,EngineRouter.tsx + VisualReactionTraining.tsx,none
25,visual-reaction,visual-reaction-rush-39,시지각 반응 · 파도 피하기,reactTrain,1,RushReactionTraining,SIGNAL: 색 세그먼트가 히트라인으로 밀려온다.,SELECT: 히트라인에 닿는 세그먼트 색.,MOVE: 해당 색 패드로 반응한다(회피 동작이 엔진 규칙이 아님).,visual-rush,VERIFY,ASSET VERIFY REQUIRED,WARN,P2,제목 파도 피하기 vs 색 패드 반응.,vr-rush,base,LOW,RushReactionTraining.tsx,네이밍 정리
26,visual-reaction,visual-reaction-flow-2x-31,시지각 반응 · 떨어지는 벽돌,reactTrain,2,reactTrainConcurrent=2 variant=flow,SIGNAL: 색 벽돌이 동시에 최대 2개 낙하.,SELECT: 히트하는 벽돌 색(들).,MOVE: 해당 색 패드로 반응한다.,visual-flow,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,concurrent 전달 확인.,vr-flow,concurrent=2,LOW,EngineRouter VisualReactionTraining flow,none
27,visual-reaction,visual-reaction-mole-l1,시지각 반응 · 두더지 잡기,reactTrain,6,moleLookMode=classic + session difficulty,SIGNAL: 구멍에서 색 두더지가 팝업(쉬움 1마리).,SELECT: 두더지 색.,MOVE: 해당 색 패드로 이동/반응.,visual-mole,VERIFY,ASSET VERIFY REQUIRED,WARN,P2,세션에서 classic/variant를 바꿀 수 있어 카드 칩과 실행이 달라질 수 있음.,vr-mole,look=classic,YES if difficulty overlay,RobloxMoleReactionTraining.tsx + spomoveDifficulty.ts,세션 난이도와 카탈로그 이중 채널 정리
28,visual-reaction,visual-reaction-mole-normal-skeleton,시지각 반응 · 두더지 잡기 · 보통,reactTrain,6,moleLookMode=variant,SIGNAL: 변형 룩 두더지 1~2마리.,SELECT: 두더지 색.,MOVE: 해당 색 패드로 반응.,visual-mole,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,mole L1의 VARIANT.,vr-mole,look=variant,LOW,officialSpomovePresetExpansion.ts,none
29,visual-reaction,visual-reaction-goalkeeper-easy-skeleton,시지각 반응 · 축구 : 골키퍼 · 쉬움,reactTrain,10,goalkeeperTier=1,SIGNAL: 공이 코너로 비행(항상 1개 커브 가능).,SELECT: 도착 코너 색.,MOVE: 해당 코너 색 패드로 반응.,visual-goalkeeper,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,tier1.,vr-gk,tier=1,LOW,GoalkeeperReactionTraining.tsx,none
30,visual-reaction,visual-reaction-goalkeeper-42,시지각 반응 · 골키퍼 모드,reactTrain,10,goalkeeperTier=2 duration>=120s,SIGNAL: 1~2개 공이 코너로 비행.,SELECT: 도착 코너 색.,MOVE: 해당 코너 색 패드로 반응.,visual-goalkeeper,VERIFY,ASSET VERIFY REQUIRED,WARN,P2,세션 difficulty로 tier 변경 가능. 제목 불균일(쉬움 ID와).,vr-gk,tier=2,YES difficulty overlay,EngineRouter.tsx goalkeeper,none
31,visual-reaction,visual-reaction-hand-foot-easy-skeleton,시지각 반응 · 손 따로 발 따로 · 쉬움,basic,7,handFootDifficulty=easy,SIGNAL: 사분할에 발 자극 1개(색+부위 아이콘).,SELECT: 색과 발 부위.,MOVE: 해당 패드에 지정 발을 놓는다.,visual-flow,VERIFY,local body-action icons,WARN,P1,Family가 visual-flow. 실제는 basic L7. HOLD mq1과 메커니즘 유사.,rc-handfoot,easy,YES vs HOLD mq1,signals.ts think_quad_body L7,Family 재분류 후보
32,visual-reaction,visual-reaction-hand-foot-normal-skeleton,시지각 반응 · 손 따로 발 따로 · 보통,basic,7,handFootDifficulty=normal,SIGNAL: 발+손 1~2세포.,SELECT: 각 세포의 색과 손/발.,MOVE: 해당 패드에 손·발을 분리 접촉.,visual-flow,VERIFY,local body-action icons,WARN,P1,Family visual-flow. HOLD mq2는 L8로 규칙이 다름(이관 예정 문구).,rc-handfoot,normal,YES vs HOLD mq2,signals.ts L7 probabilities,Family 재분류 후보
33,visual-reaction,visual-reaction-hand-foot-hard-skeleton,시지각 반응 · 손 따로 발 따로 · 어려움,basic,7,handFootDifficulty=hard,SIGNAL: 1~3개 손발 세포.,SELECT: 색+부위 조합.,MOVE: 동시에 해당 패드에 손·발 배치.,visual-flow,VERIFY,local body-action icons,WARN,P1,Family visual-flow. HOLD mq3는 L9.,rc-handfoot,hard,YES vs HOLD mq3,signals.ts L7 hard,Family 재분류 후보
34,simon,simon-pole-arrows-41,사이먼 이펙트 · 화살표 · 보통,simon,2,simonPoleCount=1,SIGNAL: 화면 극단에 큰 화살표 1개.,SELECT: 나타난 위치가 아니라 화살표 방향.,MOVE: 해당 방향 패드로 이동한다.,simon-pole,VERIFY (pilot seed matches),ASSET VERIFY REQUIRED,PASS,P2,createSimonSignalGenerator L2=화살표. 주석의 1번=화살표는 구버전.,simon-arrow,count=1,YES if ID later swapped,signals.ts createSimonSignalGenerator L2,주석 정리(코드 수정은 2단계)
35,simon,simon-arrow-hard-skeleton,사이먼 이펙트 · 화살표 · 어려움,simon,2,simonPoleCount=2,SIGNAL: 반대 극단 화살표 2개 동시.,SELECT: 각 화살표 방향(위치 무시).,MOVE: 해당 방향 패드들로 반응.,simon-pole,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,세션 simonPole 난이도가 같은 ID를 1↔2로 바꿀 수 있음.,simon-arrow,count=2,YES session overlay,EngineRouter simonPoleCount,카탈로그 vs 세션 난이도 이중 채널
36,simon,simon-pole-shape-06,사이먼 이펙트 · 도형 · 보통,simon,1,simonPoleCount=1,SIGNAL: 극단에 색 도형(원/삼각/사각) 1개.,SELECT: 위치가 아니라 도형 색.,MOVE: 해당 색 패드로 이동한다.,simon-pole,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,L1=도형색. 파일 설명과 코드 일치.,simon-shape,count=1,LOW,createSimonSignalGenerator L1,none
37,simon,simon-shape-hard-skeleton,사이먼 이펙트 · 도형 · 어려움,simon,1,simonPoleCount=2,SIGNAL: 극단 색 도형 2개.,SELECT: 각 도형 색.,MOVE: 해당 색 패드들로 반응.,simon-pole,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,세션 overlay로 보통 ID와 교차 가능.,simon-shape,count=2,YES session overlay,expansion skeleton,이중 채널 정리
38,simon,simon-balloon-flash-05,사이먼 이펙트 · 풍선 · 보통,simon,5,EngineRouter→balloonSimon concurrent=1,SIGNAL: 화면 임의 위치에 색 풍선이 순간 등장(바늘 없음).,SELECT: 풍선 색(위치 아님).,MOVE: 해당 색 패드로 이동.,simon-balloon,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,simon L5는 MemoryGame가 아니라 VisualReaction balloonSimon.,simon-balloon,concurrent=1,LOW,EngineRouter.tsx simon level 5,none
39,simon,simon-balloon-hard-skeleton,사이먼 이펙트 · 풍선 · 어려움,simon,5,simonPoleCount=2 → concurrent=2,SIGNAL: 풍선 자극 최대 2개.,SELECT: 각 풍선 색.,MOVE: 해당 색 패드 반응.,simon-balloon,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,세션 simonPole이 balloon concurrent를 바꿈.,simon-balloon,concurrent=2,YES session overlay,EngineRouter concurrent,이중 채널
